,,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16,top_17,top_18,top_19,top_20,top_21,top_22,top_23,top_24,top_25,top_26,top_27,top_28,top_29,top_30,top_31,top_32,top_33,top_34,top_35,top_36,top_37,top_38,top_39,top_40,top_41,top_42,top_43,top_44,top_45,top_46,top_47,top_48,top_49,top_50,top_51,top_52,top_53,top_54,top_55,top_56,top_57,top_58,top_59,top_60,top_61,top_62,top_63,top_64,top_65,top_66,top_67,top_68,top_69,top_70
epoch_0,uid_128088,913,6016,908,3030,919,1203,55290,260,1207,1196,5618,1136,924,5291,3435,1212,902,1233,2997,930,1250,1193,1265,1204,3996,3020,3000,1283,49272,2677,733,3022,1262,954,3677,2571,541,3462,26662,48516,678,31410,2248,952,1281,2908,97938,1234,1211,1264,1278,3551,6350,4881,2020,104283,923,2804,1284,1228,1243,926,142488,31658,102445,7090,2289,72641,6807,1247
epoch_0,uid_267455,858,1276,1203,912,904,900,908,1201,318,1233,2019,1221,50,1193,1198,1136,1270,1172,945,1211,2300,1256,1304,527,134130,1250,7090,1262,138036,910,306,4881,3683,1214,1284,260,1222,2289,1259,106916,2324,68237,541,4027,1148,3020,4973,33166,1200,1234,4848,3429,97938,4995,86882,1210,44555,3252,1036,593,3030,3037,6,48780,2329,1283,899,953,1278,1207
epoch_0,uid_73381,1203,2959,1193,1276,1200,5618,541,904,1258,50,3030,1201,899,1233,1625,79132,3435,3022,4011,1250,142488,912,34405,1719,1089,1949,4848,296,1207,1148,1256,1219,5291,1220,908,1234,1208,750,1211,164179,1304,97938,2132,4993,4878,2329,38061,1172,1036,2289,4995,3134,1136,44555,106916,910,778,68157,4641,111,950,2804,2542,745,8132,3429,1267,56782,858,290
epoch_0,uid_117628,1276,912,2959,2019,858,2324,1203,2858,1175,5291,908,2329,50,1193,1262,904,4848,1250,1136,296,1264,541,953,4011,1172,48516,745,3030,2132,86882,3435,5995,665,33166,593,79132,318,2571,7090,44555,4973,903,1212,8154,1225,919,899,1234,1209,910,1204,2692,5618,1189,924,1732,1293,67255,1237,1233,5225,73,7153,47,4641,678,3503,3996,1148,2918
epoch_0,uid_21453,1148,1203,5618,1237,541,1172,50,527,908,1617,3000,1250,1207,945,4848,1193,2571,858,1208,1276,3030,5147,1211,912,1136,904,306,3022,3020,1201,60069,2019,2132,5878,720,4641,4312,1719,3429,1256,3317,2951,2858,2324,30707,1089,1298,1262,6773,599,7153,2686,5995,1204,5952,954,3468,3503,1219,111,142488,3265,55247,48780,919,1213,2186,2289,1283,969
epoch_0,uid_229622,750,1276,541,50,593,527,1211,904,908,1234,1193,318,1148,164179,1197,2324,912,1136,899,950,2959,1228,7153,306,1291,1237,2019,1221,1203,910,1208,1262,1089,5618,1207,2858,356,903,508,1172,2132,3147,3246,1259,1225,1258,2571,1198,110,3435,1201,44555,2289,4973,1446,1617,92259,3020,953,1250,2329,33166,858,2804,2268,900,112552,913,3000,2186
epoch_0,uid_167368,1201,5618,527,50,2959,2019,318,2329,2571,44555,1203,58559,2762,5291,1207,49272,904,3435,1214,111,34405,296,1172,7090,1278,4848,3629,215,2324,33166,908,899,4973,88125,6350,55290,5147,900,858,1209,30707,2542,3089,4993,6773,457,2677,945,930,3421,5952,1949,2132,79132,76093,2692,86882,57669,1222,1219,1527,971,3022,1258,55247,31410,56782,4995,67255,3462
epoch_0,uid_21772,296,2019,527,1237,5618,2959,1203,750,1204,3022,1262,3435,293,318,50,2571,26614,608,1219,858,1250,1198,899,1230,4973,2132,541,2329,3030,1260,1211,2324,1259,1136,3730,2318,1234,1196,902,1732,593,678,56782,4011,778,904,1617,1089,7153,1222,142488,134130,924,903,1283,2542,1193,1233,1209,1221,446,3020,112552,5995,1172,67255,1446,2858,3147,2905
epoch_0,uid_176555,50,1234,904,3030,4993,1252,1230,5952,58559,1283,2959,3730,5995,908,1204,1293,2019,7153,1207,1617,910,44555,750,2132,4878,290,1250,1148,1256,34405,68157,3949,1216,1136,7361,3681,3683,2571,4973,2542,2502,2997,1211,7090,457,3435,88125,44199,2333,1217,55442,1245,8910,665,1089,899,6350,60069,48516,902,48738,1291,265,3000,2858,306,994,2329,1208,17
epoch_0,uid_166868,50,2019,318,2324,2959,541,1203,3030,593,4993,89492,608,2762,1250,1256,1258,5291,4973,858,3429,1089,1208,2819,3949,138036,2289,1193,73,134130,3000,1272,5618,1264,1207,933,1276,1221,913,952,49530,950,1617,306,1172,1845,307,81845,293,508,1136,1968,1196,4011,1253,904,1262,1209,68157,1291,908,7156,7323,3740,900,7153,3911,1204,1234,1270,7090
